experiment_id,cell_id,channel,game,familiarity,seed,n_rounds,coop_endstate,locked_in,coop_axis_defined,welfare_endstate,K_endstate,is_market_game,convergence_tau,stability_sigma,promise_keeping_rate,refusal_rate,refusal_only_rate,n_messages,mean_message_tokens,compression_ratio,ngram_reuse_bigram,ngram_reuse_trigram
A6,A6/none/same_origin_cn,L0_none,ipd,canonical,0,4,0.875,1,1,0.9375,,0,1,0.0,,0.0,0.0,0,,,,
A6,A6/none/same_origin_cn,L0_none,ipd,canonical,1,4,0.5,0,1,0.625,,0,,,,0.0,0.0,0,,,,
A6,A6/obs/same_origin_cn,L0_none,ipd,canonical,0,4,0.625,0,1,0.6875,,0,,,,0.0,0.0,0,,,,
A6,A6/obs/same_origin_cn,L0_none,ipd,canonical,1,4,0.375,0,1,0.4375,,0,,,,0.0,0.0,0,,,,
A6,A6/msg/same_origin_cn,L2_observed,ipd,canonical,0,4,0.625,0,1,0.8125,,0,1,0.0,0.625,0.0,0.0,8,10.0,0.1824175824175824,0.8734177215189873,0.8717948717948718
A6,A6/msg/same_origin_cn,L2_observed,ipd,canonical,1,4,0.75,0,1,0.875,,0,,,0.75,0.0,0.0,8,10.0,0.1824175824175824,0.8734177215189873,0.8717948717948718
A6,A6/none/cross_origin,L0_none,ipd,canonical,0,4,0.75,0,1,0.75,,0,1,0.0,,0.0,0.0,0,,,,
A6,A6/none/cross_origin,L0_none,ipd,canonical,1,4,0.75,0,1,0.875,,0,,,,0.0,0.0,0,,,,
A6,A6/obs/cross_origin,L0_none,ipd,canonical,0,4,0.625,0,1,0.6875,,0,,,,0.0,0.0,0,,,,
A6,A6/obs/cross_origin,L0_none,ipd,canonical,1,4,0.75,0,1,0.875,,0,,,,0.0,0.0,0,,,,
A6,A6/msg/cross_origin,L2_observed,ipd,canonical,0,4,1.0,1,1,1.0,,0,0,0.0,1.0,0.0,0.0,8,10.0,0.1824175824175824,0.8734177215189873,0.8717948717948718
A6,A6/msg/cross_origin,L2_observed,ipd,canonical,1,4,0.75,0,1,0.875,,0,,,0.75,0.0,0.0,8,10.0,0.1824175824175824,0.8734177215189873,0.8717948717948718
